哥德尔、艾舍尔、巴赫, [美] 侯世达, 商务印书馆, 1997-5
文学回忆录（全2册）, 木心 讲述 / 陈丹青 笔录, 广西师范大学出版社, 2013-1-10
史记（全十册）, 司马迁, 中华书局, 1982-11
道德经精义, 黄元吉, 陕西人民出版社, 1996-10
三体Ⅲ, 刘慈欣, 重庆出版社, 2010-11
看见, 柴静, 广西师范大学出版社, 2013-1-1
冰与火之歌（卷二）, [美] 乔治.R.R.马丁, 重庆出版社, 2006-1
鲁迅全集（2005最新修订版）, 鲁迅, 人民文学出版社, 2005-11
塔希里亚故事集Ⅱ, 吴淼, 接力出版社, 2008-12
浪潮之巅, 吴军, 电子工业出版社, 2011-8
诗经, 孔丘 编订, 北京出版社, 2006-7
第二基地, [美] 艾萨克·阿西莫夫, 天地出版社, 2005-1
中国少年儿童百科全书（全四册）, 林崇德 主编, 浙江教育出版社, 1991-4
中國近代史（上冊）, [美] 徐中約, 香港中文大學出版社, 2002
唐诗三百首,, 广西民族出版社, 2000-3
資治通鑑（全二十冊）, [宋] 司馬光 編著 / [元] 胡三省 音注, 中華書局, 1956-6
基督山伯爵(上下), 〔法〕大仲马著, 北京燕山出版社, 1999-8-1
风与树的歌, 安房直子, 少年儿童出版社, 2004-03-01
寻找家园, 高尔泰, 花城出版社, 2004-11-03
冰与火之歌·卷四·群鸦的盛宴（全两册）, （美）乔治·R·R·马丁, 重庆出版社, 2008-09
我在伊朗长大, 玛赞·莎塔碧, 生活·读书·新知三联书店, 2010-1
现代汉语词典（修订本）, 中国社会科学院语言研究所词典编辑室 编, 商务印书馆, 1996-7
庄子, 孙通海 译注, 中华书局, 2007-04
卡拉马佐夫兄弟, [俄] 费奥多尔·陀思妥耶夫斯基, 上海译文出版社, 2006-8
C程序设计语言, （美）Brian W. Kernighan / （美）Dennis M. Ritchie, 机械工业出版社, 2004-1
卡尔维诺文集（第三卷）, [意大利] 卡尔维诺, 译林出版社, 2001-9
源泉, [美] 安·兰德, 重庆出版社, 2005-11
冰与火之歌（卷一）, [美] 乔治·R. R. 马丁, 重庆出版社, 2005-5
我的团长我的团（下部）, 兰晓龙, 新星出版社, 2009-1
唐诗三百首, 蘅塘退士 / 陈婉俊, 中华书局, 1998-1-1
南京浩劫, 张纯如, 东方出版社, 2007-8
王小波全集, 王小波, 云南人民出版社, 2006-7
猜猜我有多爱你, [英] 山姆·麦克布雷尼 文 / 安妮塔·婕朗 图, 少年儿童出版社, 2005-4
基地, [美] 艾萨克·阿西莫夫, 天地出版社, 2005-1
银河英雄传说, [日] 田中芳树, 西藏人民出版社, 2004-7-1
猫城小事, [日] 莫莉蓟野, 南海出版公司, 2009-10
我在伊朗长大1, [伊朗] 玛赞·莎塔碧, 生活·读书·新知三联, 2006-4
國史大綱（上下）, 錢穆, 商務印書館, 2013-8
乡土中国 生育制度, 费孝通, 北京大学出版社, 1998-5-1
365夜故事（上下）, 鲁兵 主编 / 朱延龄 插图, 少年儿童出版社, 1987-2
基地与帝国, [美] 艾萨克·阿西莫夫, 天地出版社, 2005-1
顾准文集, 顾准, 中国市场出版社, 2007-4-1
飘（全二册）, [美] 米切尔, 人民文学出版社, 1990-8
一九八四·动物农场, [英] 乔治·奥威尔, 上海译文出版社, 2003-4
飲水詞箋校, （清）纳兰性德 / 赵秀亭（笺校） / 冯统一（笺校）, 中华书局, 2005-7-1
渴望生活, [美] 欧文·斯通, 北京十月文艺出版社, 2008-4
随风而来的玛丽阿姨, （英）帕·林·特拉芙斯, 明天出版社, 2005
霍乱时期的爱情, [哥伦比亚] 加西亚·马尔克斯, 南海出版公司, 2012-9-1
月亮和六便士, [英] 毛姆, 上海译文出版社, 2009-10
从一到无穷大, [美] G. 伽莫夫, 科学出版社, 2002-11
论美国的民主, [法]托克维尔, 商务印书馆, 1989-1-1
旧制度与大革命, [法] 托克维尔, 商务印书馆, 1992-08
全球通史(上), (美)斯塔夫里阿诺斯, 北京大学出版社, 2006-1-10
全球通史(下)," （美）斯塔夫里阿诺斯（Stavrianos,L.S.）", 北京大学出版社, 2006-10
上帝掷骰子吗, 曹天元, 辽宁教育出版社, 2006-1
给青年诗人的信, [奥] 莱内·马利亚·里尔克, 上海译文出版社, 2005-10
快乐王子, [英] 王尔德, 上海译文出版社, 2007-7
代码大全（第2版）, [美] 史蒂夫·迈克康奈尔, 电子工业出版社, 2006-3
C++ Primer 中文版（第 4 版）, Stanley B.Lippman / Josée LaJoie / Barbara E.Moo, 人民邮电出版社, 2006
三体Ⅱ, 刘慈欣, 重庆出版社, 2008-5
爷爷变成了幽灵, [丹麦]金·弗珀兹·艾克松/文 / [瑞典]爱娃·艾瑞克松/图, 湖北美术出版社, 2007-12
肖申克的救赎, [美] 斯蒂芬·金, 人民文学出版社, 2006-7
安徒生童话故事集, （丹麦）安徒生, 人民文学出版社, 1997-08
平凡的世界（全三册）, 路遥, 北京十月文艺出版社, 2009-1
撒哈拉的故事, 三毛, 哈尔滨出版社, 2003-8
飘, [美国] 玛格丽特·米切尔, 译林出版社, 2000-9
三国演义（全二册）, [明] 罗贯中, 人民文学出版社, 1998-05
王尔德童话, [英] 王尔德, 译林出版社, 2003-6
